; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:56:01 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.04094324,0,1,0
0.04094334,0,0,0
0.04094342,0,1,0
0.04094358,0,0,0
0.04094374,0,1,0
0.04094392,0,0,0
0.04094402,0,1,0
0.0409441,0,0,0
0.04094418,0,1,0
0.04094426,0,0,0
0.04094434,0,1,0
0.04094444,0,0,0
0.04094452,0,1,0
0.0409446,0,0,0
0.04094468,0,1,0
0.04094476,0,0,0
0.04094484,0,1,0
0.04094494,0,0,0
0.04094506,0,1,0
0.04094518,0,0,0
0.04094526,0,1,0
0.04094536,0,0,0
0.04094542,0,1,0
0.04094552,0,0,0
0.0409456,0,1,0
0.04094568,0,0,0
0.04094576,0,1,0
0.04094586,0,0,0
0.04094594,0,1,0
0.04094602,0,0,0
0.0409461,0,1,0
0.04094626,0,0,0
0.04094638,0,1,0
0.04094654,0,0,0
0.0409466,0,1,0
0.0409467,0,0,0
0.04094676,0,1,0
0.04094692,0,0,0
0.04094702,0,1,0
0.04094712,0,0,0
0.0409472,0,1,0
0.04094728,0,0,0
0.04094736,0,1,0
0.04094746,0,0,0
0.04094752,0,1,0
0.04094762,0,0,0
0.04094776,0,1,0
0.04094788,0,0,0
0.04094796,0,1,0
0.0409481,0,0,0
0.0409482,0,1,0
0.0409483,0,0,0
0.04094836,0,1,0
0.04094848,0,0,0
0.04094854,0,1,0
0.04094866,0,0,0
0.04094874,0,1,0
0.04094882,0,0,0
0.04094896,0,1,0
0.04094962,1,1,0
0.04094998,1,0,0
0.05484476,1,1,0
0.05484488,1,0,0
0.05484498,1,1,0
0.05484508,1,0,0
0.05484522,1,1,0
0.05484532,1,0,0
0.0548454,1,1,0
0.05484548,1,0,0
0.05484554,1,1,0
0.05484564,1,0,0
0.05484572,1,1,0
0.05484588,1,0,0
0.05484598,1,1,0
0.05484606,1,0,0
0.0548462,1,1,0
0.05484632,1,0,0
0.05484638,1,1,0
0.05484648,1,0,0
0.05484654,1,1,0
0.0548467,1,0,0
0.0548468,1,1,0
0.05484688,1,0,0
0.05484692,0,0,0
0.05484702,0,1,0
0.05484714,0,0,0
0.05484722,0,1,0
0.0548473,0,0,0
0.05484738,0,1,0
0.05484746,0,0,0
0.05484754,0,1,0
0.05484768,0,0,0
0.05484778,0,1,0
0.05484788,0,0,0
0.05484794,0,1,0
0.05484804,0,0,0
0.05484818,0,1,0
0.05484828,0,0,0
0.05484836,0,1,0
