; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:54:36 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.01714168,0,1,0
0.01714178,0,0,0
0.01714186,0,1,0
0.01714196,0,0,0
0.01714202,0,1,0
0.01714218,0,0,0
0.01714234,0,1,0
0.01714252,0,0,0
0.01714266,0,1,0
0.0171428,0,0,0
0.01714286,0,1,0
0.01714302,0,0,0
0.01714318,0,1,0
0.01714336,0,0,0
0.01714352,0,1,0
0.0171437,0,0,0
0.01714378,0,1,0
0.01714388,0,0,0
0.01714396,0,1,0
0.01714406,0,0,0
0.01714418,0,1,0
0.01714436,0,0,0
0.01714446,0,1,0
0.01714454,0,0,0
0.01714462,0,1,0
0.01714472,0,0,0
0.01714478,0,1,0
0.01714488,0,0,0
0.01714496,0,1,0
0.01714506,0,0,0
0.01714512,0,1,0
0.01714522,0,0,0
0.0171453,0,1,0
0.0171454,0,0,0
0.01714546,0,1,0
0.01714556,0,0,0
0.0171457,0,1,0
0.01714588,0,0,0
0.01714602,0,1,0
0.01714616,0,0,0
0.01714624,0,1,0
0.01714638,0,0,0
0.01714648,0,1,0
0.01714656,0,0,0
0.01714664,0,1,0
0.01714674,0,0,0
0.01714686,0,1,0
0.01714704,0,0,0
0.01714716,0,1,0
0.01714724,0,0,0
0.01714738,0,1,0
0.01714756,0,0,0
0.0171479,0,1,0
0.01714806,0,0,0
0.01714814,0,1,0
0.0171482,1,1,0
0.0171485,1,0,0
0.01714904,1,1,0
0.01714954,1,0,0
0.0171497,1,1,0
0.01714982,1,0,0
0.01714992,1,1,0
0.01715002,1,0,0
0.01715024,1,1,0
0.01715038,1,0,0
0.01715052,1,1,0
0.01715082,1,0,0
0.0171509,1,1,0
0.01715106,1,0,0
0.01715116,1,1,0
0.01715124,1,0,0
0.0171513,1,1,0
0.01715154,1,0,0
0.0171522,1,1,0
0.01715284,1,0,0
0.01715354,1,1,0
0.01715388,1,0,0
0.01715404,1,1,0
0.0171543,1,0,0
0.01715474,1,1,0
0.01715492,1,0,0
0.01715502,1,1,0
0.01715536,1,0,0
0.01715552,1,1,0
0.01715566,1,0,0
0.01715574,1,1,0
0.01715588,1,0,0
0.01715606,1,1,0
0.01715616,1,0,0
0.0171562,1,1,0
0.01715638,1,0,0
0.01715654,1,1,0
0.01715672,1,0,0
0.01715704,1,1,0
0.01715716,1,0,0
0.01715726,1,1,0
0.0171574,1,0,0
0.01715804,1,1,0
0.01715826,1,0,0
0.01715836,1,1,0
0.01715858,1,0,0
0.01716222,1,1,0
0.01716288,1,0,0
0.01717556,1,1,0
0.0171761,1,0,0
0.0171901,1,1,0
0.01719122,1,0,0
0.03107678,1,1,0
0.03107686,1,0,0
0.03107692,1,1,0
0.03107728,1,0,0
0.03107782,1,1,0
0.03107816,1,0,0
0.0310783,1,1,0
0.03107848,1,0,0
0.03107864,1,1,0
0.03107876,1,0,0
0.03107884,1,1,0
0.03107898,1,0,0
0.03107908,1,1,0
0.03107918,1,0,0
0.03107924,1,1,0
0.03107934,1,0,0
0.0310794,1,1,0
0.0310795,1,0,0
0.03107958,1,1,0
0.03107962,0,1,0
0.03107966,0,0,0
0.03107974,0,1,0
0.03107982,0,0,0
0.0310799,0,1,0
0.03108,0,0,0
0.03108012,0,1,0
0.03108024,0,0,0
0.03108032,0,1,0
0.0310804,0,0,0
0.03108048,0,1,0
0.03108064,0,0,0
0.03108078,0,1,0
0.0310809,0,0,0
0.03108098,0,1,0
0.03108106,0,0,0
0.03108114,0,1,0
0.0310813,0,0,0
0.03108146,0,1,0
0.03108162,0,0,0
0.03108172,0,1,0
0.0310818,0,0,0
0.03108196,0,1,0
0.03108214,0,0,0
0.0310823,0,1,0
0.03108246,0,0,0
0.03108256,0,1,0
0.03108264,0,0,0
0.0310828,0,1,0
0.03108296,0,0,0
0.03108314,0,1,0
0.0310833,0,0,0
0.03108346,0,1,0
0.03108364,0,0,0
0.03108372,0,1,0
0.0310838,0,0,0
0.03108388,0,1,0
0.03108398,0,0,0
0.03108412,0,1,0
0.03108422,0,0,0
0.0310843,0,1,0
0.03108438,0,0,0
0.03108448,0,1,0
0.03108464,0,0,0
0.0310848,0,1,0
0.03108496,0,0,0
0.03108506,0,1,0
0.03108514,0,0,0
0.03108522,0,1,0
0.0310853,0,0,0
0.03108538,0,1,0
0.03108548,0,0,0
0.03108562,0,1,0
0.03108572,0,0,0
0.0310858,0,1,0
0.03108596,0,0,0
0.03108614,0,1,0
0.0310863,0,0,0
0.03108646,0,1,0
0.03108656,0,0,0
0.03108664,0,1,0
0.0310868,0,0,0
0.0310869,0,1,0
0.03108698,0,0,0
0.03108712,0,1,0
0.0310873,0,0,0
0.0310874,0,1,0
0.03108748,0,0,0
0.03108756,0,1,0
0.03108764,0,0,0
0.03108772,0,1,0
0.0310878,0,0,0
0.03108796,0,1,0
0.03108814,0,0,0
0.03108822,0,1,0
0.0310883,0,0,0
0.03108846,0,1,0
0.03108864,0,0,0
0.03108872,0,1,0
0.0310888,0,0,0
0.03108888,0,1,0
0.03108898,0,0,0
0.03108906,0,1,0
0.03108914,0,0,0
0.03108928,0,1,0
0.0310894,0,0,0
0.03108946,0,1,0
0.03108956,0,0,0
0.03108964,0,1,0
0.03108978,0,0,0
0.0310899,0,1,0
0.03108998,0,0,0
0.0310901,0,1,0
0.03109024,0,0,0
0.0310903,0,1,0
0.0310904,0,0,0
0.03109048,0,1,0
0.03109056,0,0,0
0.03109064,0,1,0
0.03109074,0,0,0
0.03109082,0,1,0
0.03109096,0,0,0
0.03109106,0,1,0
0.03109116,0,0,0
0.03109124,0,1,0
0.03109134,0,0,0
0.03109146,0,1,0
0.03109164,0,0,0
0.0310918,0,1,0
0.03109198,0,0,0
0.03109208,0,1,0
0.03109216,0,0,0
0.03109224,0,1,0
0.03109234,0,0,0
0.03109248,0,1,0
0.0310926,0,0,0
0.03109268,0,1,0
0.03109282,0,0,0
0.03109292,0,1,0
0.03109302,0,0,0
0.03109308,0,1,0
0.0310932,0,0,0
0.03109326,0,1,0
0.03109338,0,0,0
0.03109344,0,1,0
0.03109354,0,0,0
0.03109384,0,1,0
0.03109402,0,0,0
0.03109412,0,1,0
0.0310942,1,1,0
0.03109468,1,0,0
0.0310955,1,1,0
0.0310957,1,0,0
0.03109668,1,1,0
0.031097,1,0,0
0.03109784,1,1,0
0.03109818,1,0,0
0.03109902,1,1,0
0.03109968,1,0,0
0.03110036,1,1,0
0.0311007,1,0,0
0.03110084,1,1,0
0.03110112,1,0,0
0.03110168,1,1,0
0.03110234,1,0,0
0.0311031,1,1,0
0.0311037,1,0,0
0.03110384,1,1,0
0.03110402,1,0,0
0.03110478,1,1,0
0.03110534,1,0,0
0.03110626,1,1,0
0.0311067,1,0,0
0.03110734,1,1,0
0.03110752,1,0,0
0.0311076,1,1,0
0.0311077,1,0,0
0.0311086,1,1,0
0.03110888,1,0,0
0.03110966,1,1,0
0.03111018,1,0,0
0.03111036,1,1,0
0.0311105,1,0,0
0.03111104,1,1,0
0.03111184,1,0,0
0.031112,1,1,0
0.03111234,1,0,0
0.03111244,1,1,0
0.0311128,1,0,0
0.03111286,1,1,0
0.03111318,1,0,0
0.03111334,1,1,0
0.03111368,1,0,0
0.03111386,1,1,0
0.03111436,1,0,0
0.03111452,1,1,0
0.03111484,1,0,0
0.03111502,1,1,0
0.0311152,1,0,0
0.03111534,1,1,0
0.03111554,1,0,0
0.03111702,1,1,0
0.0311172,1,0,0
0.03701566,1,1,0
0.0370162,1,0,0
0.03703416,1,1,0
0.03703484,1,0,0
0.03703582,1,1,0
0.03703604,1,0,0
0.0370369,1,1,0
0.03703752,1,0,0
0.03703816,1,1,0
0.03703866,1,0,0
0.03703948,1,1,0
0.0370397,1,0,0
0.03703982,1,1,0
0.03704002,1,0,0
0.0370409,1,1,0
0.03704142,1,0,0
0.03704152,1,1,0
0.03704186,1,0,0
0.03704214,1,1,0
0.03704266,1,0,0
0.03704284,1,1,0
0.03704302,1,0,0
0.03704352,1,1,0
0.03704416,1,0,0
0.03704426,1,1,0
0.03704434,1,0,0
0.03704448,1,1,0
0.0370446,1,0,0
0.037045,1,1,0
0.0370451,1,0,0
0.03704514,1,1,0
0.03704548,1,0,0
0.03704558,1,1,0
0.03704566,1,0,0
0.03704574,1,1,0
0.03704584,1,0,0
0.03704646,1,1,0
0.03704682,1,0,0
0.03704696,1,1,0
0.03704714,1,0,0
0.03704774,1,1,0
0.03704814,1,0,0
0.03704824,1,1,0
0.03704834,1,0,0
0.0370484,1,1,0
0.0370485,1,0,0
0.03704892,1,1,0
0.037049,1,0,0
0.03704912,1,1,0
0.03704946,1,0,0
0.0370495,1,1,0
0.03704966,1,0,0
0.03704974,1,1,0
0.03704982,1,0,0
0.03705,1,1,0
0.03705014,1,0,0
0.0370503,1,1,0
0.03705048,1,0,0
0.03705056,1,1,0
0.03705084,1,0,0
0.03705096,1,1,0
0.03705108,1,0,0
0.03705172,1,1,0
0.03705214,1,0,0
0.0370523,1,1,0
0.03705244,1,0,0
0.0370525,1,1,0
0.03705262,1,0,0
0.03705312,1,1,0
0.03705332,1,0,0
0.03705338,1,1,0
0.03705352,1,0,0
0.03705362,1,1,0
0.0370538,1,0,0
0.0370543,1,1,0
0.0370546,1,0,0
0.03705464,1,1,0
0.03705492,1,0,0
0.037055,1,1,0
0.03705512,1,0,0
0.0370553,1,1,0
0.03705546,1,0,0
0.03705562,1,1,0
0.0370558,1,0,0
0.0370559,1,1,0
0.037056,1,0,0
0.03705612,1,1,0
0.03705626,1,0,0
0.03705632,1,1,0
0.0370564,1,0,0
0.03705648,1,1,0
0.03705662,1,0,0
0.03705672,1,1,0
0.03705682,1,0,0
0.0370569,1,1,0
0.03705698,1,0,0
0.03705706,1,1,0
0.03705716,1,0,0
0.03705728,1,1,0
0.03705746,1,0,0
0.03705762,1,1,0
0.0370578,1,0,0
0.03705788,1,1,0
0.03705798,1,0,0
0.03705812,1,1,0
0.0370583,1,0,0
0.0370584,1,1,0
0.03705848,1,0,0
0.03705862,1,1,0
0.0370588,1,0,0
0.0370589,1,1,0
0.03705898,1,0,0
0.03705912,1,1,0
0.0370593,1,0,0
0.03705944,1,1,0
0.03705958,1,0,0
0.03705966,1,1,0
0.03705976,1,0,0
0.03705982,1,1,0
0.03705996,1,0,0
0.03706008,1,1,0
0.03706016,1,0,0
0.03706028,1,1,0
0.03706042,1,0,0
0.03706048,1,1,0
0.03706058,1,0,0
0.03706064,1,1,0
0.03706076,1,0,0
0.03706082,1,1,0
0.0370609,1,0,0
0.03706098,1,1,0
0.03706114,1,0,0
0.03706124,1,1,0
0.03706132,1,0,0
0.03706138,1,1,0
0.03706148,1,0,0
0.03706156,1,1,0
0.03706166,1,0,0
0.03706174,1,1,0
0.03706184,1,0,0
0.0370619,1,1,0
0.037062,1,0,0
0.03706212,1,1,0
0.03706226,1,0,0
0.03706232,1,1,0
0.03706248,1,0,0
0.03706262,1,1,0
0.0370628,1,0,0
0.03706296,1,1,0
0.03706314,1,0,0
0.03706322,1,1,0
0.03706332,1,0,0
0.03706346,1,1,0
0.03706358,1,0,0
0.03706364,1,1,0
0.0370638,1,0,0
0.0370639,1,1,0
0.03706398,1,0,0
0.03706412,1,1,0
0.03706424,1,0,0
0.03706432,1,1,0
0.0370644,1,0,0
0.03706446,1,1,0
0.03706456,1,0,0
0.03706464,1,1,0
0.0370648,1,0,0
0.03706496,1,1,0
0.03706508,1,0,0
0.03706512,1,1,0
0.0370653,1,0,0
0.03706544,1,1,0
0.03706562,1,0,0
0.03706578,1,1,0
0.03706596,1,0,0
0.03706608,0,0,0
0.03706612,0,1,0
0.03706624,0,0,0
0.0370663,0,1,0
0.0370664,0,0,0
0.03706646,0,1,0
0.03706662,0,0,0
0.03706678,0,1,0
0.0370669,0,0,0
0.03706696,0,1,0
0.03706706,0,0,0
0.03706712,0,1,0
0.03706724,0,0,0
0.0370673,0,1,0
0.0370674,0,0,0
0.03706748,0,1,0
0.03706762,0,0,0
0.03706772,0,1,0
0.0370678,0,0,0
0.03706794,0,1,0
0.03706806,0,0,0
0.03706814,0,1,0
0.03706828,0,0,0
0.03706844,0,1,0
0.03706862,0,0,0
0.0370687,0,1,0
0.0370688,0,0,0
0.03706894,0,1,0
0.03706904,0,0,0
0.03706912,0,1,0
0.03706922,0,0,0
0.03706928,0,1,0
0.03706944,0,0,0
0.0370696,0,1,0
0.03706976,0,0,0
0.03706992,0,1,0
0.0370701,0,0,0
0.0370702,0,1,0
0.03707028,0,0,0
0.03707042,0,1,0
0.0370706,0,0,0
0.03707076,0,1,0
0.03707094,0,0,0
0.03707104,0,1,0
0.03707112,0,0,0
0.03707126,0,1,0
0.03707144,0,0,0
0.03707154,0,1,0
0.03707162,0,0,0
0.03707176,0,1,0
0.03707186,0,0,0
0.03707194,0,1,0
0.03707202,0,0,0
0.03707212,0,1,0
0.03707226,0,0,0
0.03707236,0,1,0
0.03707244,0,0,0
0.03707252,0,1,0
0.03707262,0,0,0
0.03707276,0,1,0
0.03707294,0,0,0
0.0370731,0,1,0
0.0370732,0,0,0
0.03707328,0,1,0
0.03707336,0,0,0
0.03707344,0,1,0
0.03707352,0,0,0
0.0370736,0,1,0
0.0370737,0,0,0
0.03707378,0,1,0
0.03707394,0,0,0
0.0370741,0,1,0
0.03707428,0,0,0
0.03707444,0,1,0
0.0370746,0,0,0
0.03707478,0,1,0
0.03707486,0,0,0
0.03707494,0,1,0
0.0370751,0,0,0
0.03707528,0,1,0
0.03707544,0,0,0
0.0370756,0,1,0
0.0370757,0,0,0
0.03707578,0,1,0
0.03707594,0,0,0
0.0370761,0,1,0
0.03707628,0,0,0
0.03707644,0,1,0
0.0370766,0,0,0
0.03707676,0,1,0
0.03707694,0,0,0
0.03707704,0,1,0
0.03707712,0,0,0
0.0370772,0,1,0
0.03707728,0,0,0
0.03707736,0,1,0
0.03707744,0,0,0
0.0370776,0,1,0
0.03707776,0,0,0
0.03707792,0,1,0
0.03707808,0,0,0
0.03707826,0,1,0
0.03707842,0,0,0
0.03707852,0,1,0
0.03707862,0,0,0
0.0370787,0,1,0
0.0370788,0,0,0
0.03707886,0,1,0
0.03707896,0,0,0
0.0370791,0,1,0
0.03707922,0,0,0
0.0370793,0,1,0
0.03707938,0,0,0
0.03707946,0,1,0
0.03707956,0,0,0
0.03707962,0,1,0
0.03707978,0,0,0
0.03707988,0,1,0
0.03707998,0,0,0
0.03708004,0,1,0
0.03708014,0,0,0
0.03708028,0,1,0
0.0370804,0,0,0
0.03708046,0,1,0
0.03708056,0,0,0
0.03708064,0,1,0
0.03708072,0,0,0
0.0370808,0,1,0
0.0370809,0,0,0
0.03708098,0,1,0
0.03708112,0,0,0
0.03708122,0,1,0
0.03708132,0,0,0
0.03708144,0,1,0
0.03708158,0,0,0
0.03708164,0,1,0
0.03708174,0,0,0
0.0370818,0,1,0
0.03708196,0,0,0
0.03708212,0,1,0
0.0370823,0,0,0
0.0370824,0,1,0
0.03708248,0,0,0
0.03708262,0,1,0
0.03708274,0,0,0
0.03708282,0,1,0
0.03708296,0,0,0
0.03708306,0,1,0
0.03708316,0,0,0
